weekEnding,county,claims
12/8/18,Caldwell,6
12/8/18,Platte,40
12/8/18,Texas,13
12/8/18,Nodaway,4
12/8/18,Boone,73
12/8/18,Ray,17
12/8/18,Dallas,7
12/8/18,Morgan,20
12/8/18,Daviess,5
12/8/18,Miller,41
12/8/18,Ralls,10
12/8/18,Polk,12
12/8/18,Macon,25
12/8/18,Atchison,3
12/8/18,Perry,9
12/8/18,Lewis,3
12/8/18,Audrain,11
12/8/18,Pike,9
12/8/18,Putnam,5
12/8/18,Stone,54
12/8/18,Gentry,4
12/1/18,Benton,23
12/1/18,Dunklin,26
12/1/18,Franklin,72
12/1/18,Dent,6
12/1/18,St. Louis,622
12/1/18,Scott,39
12/1/18,Cedar,3
12/1/18,DeKalb,16
12/1/18,Maries,5
12/1/18,Howell,26
12/1/18,St. Charles,181
12/1/18,Boone,91
12/1/18,Sullivan,5
12/1/18,Reynolds,3
12/1/18,Livingston,8
12/1/18,Pettis,33
12/1/18,Henry,27
12/1/18,Caldwell,7
12/1/18,Cole,32
12/1/18,Camden,61
12/1/18,Gasconade,9
12/1/18,Adair,27
12/1/18,Carter,4
12/1/18,Buchanan,92
12/1/18,Newton,28
12/1/18,Randolph,25
12/1/18,Lincoln,59
12/1/18,Carroll,11
12/1/18,Gentry,3
12/1/18,Johnson,49
12/1/18,Dallas,8
12/1/18,Shelby,6
12/1/18,Polk,20
12/1/18,Phelps,29
12/1/18,Shannon,5
12/1/18,Clinton,28
12/1/18,Lawrence,26
12/1/18,Atchison,2
12/1/18,Ste. Genevieve,6
12/1/18,Warren,18
12/1/18,Bollinger,11
12/1/18,Barton,4
12/1/18,Iron,9
12/1/18,Crawford,17
12/1/18,Ripley,8
12/1/18,Perry,17
12/1/18,Certified Mail,0
12/1/18,St. Louis City,245
12/1/18,Lafayette,53
12/1/18,Morgan,25
12/1/18,Andrew,24
12/1/18,Wright,14
12/1/18,Mercer,1
12/1/18,Ray,22
12/1/18,Jackson,649
12/1/18,Greene,127
12/1/18,Clark,1
12/1/18,Montgomery,4
12/1/18,Macon,25
12/1/18,New Madrid,15
12/1/18,Webster,20
12/1/18,Madison,9
12/1/18,Monroe,16
12/1/18,Chariton,4
12/1/18,Scotland,3
12/1/18,Ralls,11
12/1/18,Stone,36
12/1/18,Worth,2
12/1/18,Dade,2
12/1/18,Cass,76
12/1/18,Osage,2
12/1/18,Stoddard,31
12/1/18,Hickory,11
12/1/18,Jefferson,166
12/1/18,Howard,7
12/1/18,Linn,17
12/1/18,Pulaski,17
12/1/18,Pike,9
12/1/18,Laclede,23
12/1/18,McDonald,9
12/1/18,Texas,16
12/1/18,Cape Girardeau,42
12/1/18,Knox,7
12/1/18,Oregon,5
12/1/18,Jasper,70
12/1/18,Ozark,7
12/1/18,Moniteau,11
12/1/18,Vernon,5
12/1/18,Marion,19
12/1/18,Lewis,1
12/1/18,Platte,29
12/1/18,Nodaway,12
12/1/18,Harrison,8
12/1/18,Saline,13
12/1/18,Butler,41
12/1/18,St. Clair,3
12/1/18,Clay,133
12/1/18,Grundy,6
12/1/18,Putnam,4
12/1/18,Bates,18
12/1/18,Mississippi,9
12/1/18,Schuyler,6
12/1/18,Cooper,9
12/1/18,Washington,43
12/1/18,Pemiscot,12
12/1/18,Barry,15
12/1/18,Callaway,29
12/1/18,Holt,1
12/1/18,Taney,87
12/1/18,Christian,54
12/1/18,Daviess,6
12/1/18,Wayne,14
12/1/18,Douglas,9
12/1/18,Miller,38
12/1/18,Audrain,8
12/1/18,St. Francois,60
11/24/18,Hickory,3
11/24/18,Crawford,30
11/24/18,St. Francois,38
11/24/18,Lafayette,12
11/24/18,Monroe,4
11/24/18,Shannon,7
11/24/18,Boone,67
11/24/18,Washington,44
11/24/18,Worth,1
11/24/18,Douglas,2
11/24/18,Buchanan,64
11/24/18,Randolph,11
11/24/18,Scotland,0
11/24/18,DeKalb,4
11/24/18,Jackson,269
11/24/18,Carroll,2
11/24/18,Cape Girardeau,39
11/24/18,Andrew,10
11/24/18,Cooper,8
11/24/18,Johnson,34
11/24/18,Madison,8
11/24/18,Audrain,4
11/24/18,Ozark,11
11/24/18,Harrison,1
11/24/18,Mercer,1
11/24/18,Iron,5
11/24/18,Cass,22
11/24/18,Butler,28
11/24/18,Franklin,82
11/24/18,Dunklin,15
11/24/18,Caldwell,3
