"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"17","17165",9496,7763,1733,18.2
"17","17167",91362,78251,13111,14.4
"17","17169",3060,2707,353,11.5
"17","17171",2312,2064,248,10.7
"17","17173",9771,8649,1122,11.5
"17","17175",2058,1769,289,14
"17","17177",20044,17448,2596,13
"17","17179",55396,45683,9713,17.5
"17","17181",7015,6032,983,14
"17","17183",30851,25559,5292,17.2
"17","17185",6324,4838,1486,23.5
"17","17187",7736,6949,787,10.2
"17","17189",8426,6948,1478,17.5
"17","17191",7034,5672,1362,19.4
"17","17193",6346,5239,1107,17.4
"17","17195",26834,22553,4281,16
"17","17197",348416,287283,61133,17.5
"17","17199",31105,25051,6054,19.5
"17","17201",131121,101959,29162,22.2
"17","17203",15470,13504,1966,12.7
"18","18001",17017,13490,3527,20.7
"18","18003",184639,147684,36955,20
"18","18005",41928,34228,7700,18.4
"18","18007",4091,3642,449,11
"18","18009",4945,3829,1116,22.6
"18","18011",32273,29335,2938,9.1
"18","18013",7382,6185,1197,16.2
"18","18015",9693,8241,1452,15
"18","18017",16932,13927,3005,17.7
"18","18019",57010,46756,10254,18
"18","18021",11101,9540,1561,14.1
"18","18023",15955,13783,2172,13.6
"18","18025",4464,3732,732,16.4
"18","18027",14641,13412,1229,8.4
"18","18029",24345,19888,4457,18.3
"18","18031",16127,12166,3961,24.6
"18","18033",23041,18034,5007,21.7
"18","18035",52984,44237,8747,16.5
"18","18037",20623,18431,2192,10.6
"18","18039",114147,80708,33439,29.3
"18","18041",8821,6570,2251,25.5
"18","18043",37778,31619,6159,16.3
"18","18045",7728,6282,1446,18.7
"18","18047",10905,8907,1998,18.3
"18","18049",9169,7565,1604,17.5
"18","18051",19867,16092,3775,19
"18","18053",29986,25386,4600,15.3
"18","18055",12440,10845,1595,12.8
"18","18057",166160,149233,16927,10.2
"18","18059",37894,32517,5377,14.2
"18","18061",18462,15394,3068,16.6
"18","18063",81859,73002,8857,10.8
"18","18065",21353,17634,3719,17.4
"18","18067",41165,27130,14035,34.1
"18","18069",18072,14452,3620,20
"18","18071",23280,18095,5185,22.3
"18","18073",15376,12832,2544,16.5
"18","18075",9150,7300,1850,20.2
"18","18077",15293,11938,3355,21.9
"18","18079",13913,10672,3241,23.3
"18","18081",77806,67204,10602,13.6
"18","18083",17259,14473,2786,16.1
"18","18085",41309,33366,7943,19.2
"18","18087",21453,15280,6173,28.8
"18","18089",228004,180845,47159,20.7
"18","18091",46875,37201,9674,20.6
"18","18093",20486,16881,3605,17.6
"18","18095",58282,47379,10903,18.7
"18","18097",460133,395645,64488,14
"18","18099",22336,18150,4186,18.7
"18","18101",4706,4293,413,8.8
"18","18103",15346,11749,3597,23.4
