county,claims,date
Ottawa,14,
Saline,243,
McPherson,45,
Harvey,75,
Sedgewick,2669,
Sumner,120,
Washington,7,
Clay,15,
Dickinson,60,
Marion,20,
Butler,254,
Cowley,75,
Marshall,9,
Riley,202,
Geary,95,
Morris,5,
Chase,5,
Nemaha,11,
Pottawatomie,60,
Wabaunsee,11,
Lyon,82,
Greenwood,22,
Elk,6,
Chautauqua,8,
Brown,17,
Jackson,29,
Shawnee,504,
Osage,33,
Coffey,10,
Woodson,7,
Wilson,24,
Montgomery,125,
Doniphan,12,
Atchison,48,
Jefferson,42,
Douglas,394,
Franklin,77,
Anderson,17,
Allen,43,
Neosho,33,
Labette,72,
Leavenworth,155,
Wyandotte,562,
Johnson,1418,
Miami,70,
Linn,21,
Bourbon,45,
Crawford,90,
Cherokee,47,
